study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_ftp	sample_alias
PRJNA376566	SAMN06444450	SRS2092740	SRX2698348	SRR5405870	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405870/SRR5405870.fastq.gz	N2_088_042G1
PRJNA376566	SAMN06444449	SRS2092741	SRX2698349	SRR5405871	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405871/SRR5405871.fastq.gz	N2_088_034G1
PRJNA376566	SAMN06444448	SRS2092742	SRX2698350	SRR5405872	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405872/SRR5405872.fastq.gz	N2_088_027G1
PRJNA376566	SAMN06444447	SRS2092744	SRX2698351	SRR5405873	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405873/SRR5405873.fastq.gz	N2_088_022G1
PRJNA376566	SAMN06444446	SRS2092743	SRX2698352	SRR5405874	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405874/SRR5405874.fastq.gz	N2_088_018G1
PRJNA376566	SAMN06444445	SRS2092745	SRX2698353	SRR5405875	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405875/SRR5405875.fastq.gz	N2_088_015G1
PRJNA376566	SAMN06444444	SRS2092747	SRX2698354	SRR5405876	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405876/SRR5405876.fastq.gz	N2_088_013G1
PRJNA376566	SAMN06444443	SRS2092746	SRX2698355	SRR5405877	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405877/SRR5405877.fastq.gz	N2_088_010G1
PRJNA376566	SAMN06444442	SRS2092748	SRX2698356	SRR5405878	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405878/SRR5405878.fastq.gz	N2_088_008G1
PRJNA376566	SAMN06444441	SRS2092749	SRX2698357	SRR5405879	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405879/SRR5405879.fastq.gz	N2_071_030G1
PRJNA376566	SAMN06444440	SRS2092750	SRX2698358	SRR5405880	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405880/SRR5405880.fastq.gz	N2_071_029G1
PRJNA376566	SAMN06444439	SRS2092751	SRX2698359	SRR5405881	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405881/SRR5405881.fastq.gz	N2_071_027G1
PRJNA376566	SAMN06444438	SRS2092752	SRX2698360	SRR5405882	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405882/SRR5405882.fastq.gz	N2_071_025G1
PRJNA376566	SAMN06444437	SRS2092753	SRX2698361	SRR5405883	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405883/SRR5405883.fastq.gz	N2_071_023G1
PRJNA376566	SAMN06444436	SRS2092754	SRX2698362	SRR5405884	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405884/SRR5405884.fastq.gz	N2_071_021G1
PRJNA376566	SAMN06444435	SRS2092755	SRX2698363	SRR5405885	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405885/SRR5405885.fastq.gz	N2_071_019G1
PRJNA376566	SAMN06444434	SRS2092756	SRX2698364	SRR5405886	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405886/SRR5405886.fastq.gz	N2_071_017G1
PRJNA376566	SAMN06444433	SRS2092757	SRX2698365	SRR5405887	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405887/SRR5405887.fastq.gz	N2_071_015G1
PRJNA376566	SAMN06444432	SRS2092758	SRX2698366	SRR5405888	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405888/SRR5405888.fastq.gz	N2_071_013G1
PRJNA376566	SAMN06444431	SRS2092759	SRX2698367	SRR5405889	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405889/SRR5405889.fastq.gz	N2_071_010G1
PRJNA376566	SAMN06444430	SRS2092760	SRX2698368	SRR5405890	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405890/SRR5405890.fastq.gz	N2_071_008G1
PRJNA376566	SAMN06444429	SRS2092761	SRX2698369	SRR5405891	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405891/SRR5405891.fastq.gz	N2_071_007G1
PRJNA376566	SAMN06444428	SRS2092762	SRX2698370	SRR5405892	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405892/SRR5405892.fastq.gz	N2_070_060G1
PRJNA376566	SAMN06444427	SRS2092763	SRX2698371	SRR5405893	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405893/SRR5405893.fastq.gz	N2_070_057G1
PRJNA376566	SAMN06444426	SRS2092764	SRX2698372	SRR5405894	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405894/SRR5405894.fastq.gz	N2_070_042G1
PRJNA376566	SAMN06444425	SRS2092765	SRX2698373	SRR5405895	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405895/SRR5405895.fastq.gz	N2_070_036G1
PRJNA376566	SAMN06444424	SRS2092766	SRX2698374	SRR5405896	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405896/SRR5405896.fastq.gz	N2_070_030G1
PRJNA376566	SAMN06444423	SRS2092767	SRX2698375	SRR5405897	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405897/SRR5405897.fastq.gz	N2_070_027G1
PRJNA376566	SAMN06444422	SRS2092768	SRX2698376	SRR5405898	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405898/SRR5405898.fastq.gz	N2_070_024G1
PRJNA376566	SAMN06444421	SRS2092769	SRX2698377	SRR5405899	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405899/SRR5405899.fastq.gz	N2_070_020G1
PRJNA376566	SAMN06444420	SRS2092770	SRX2698378	SRR5405900	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405900/SRR5405900.fastq.gz	N2_070_019G1
PRJNA376566	SAMN06444419	SRS2092771	SRX2698379	SRR5405901	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405901/SRR5405901.fastq.gz	N2_070_016G1
PRJNA376566	SAMN06444418	SRS2092772	SRX2698380	SRR5405902	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405902/SRR5405902.fastq.gz	N2_069_029G1
PRJNA376566	SAMN06444417	SRS2092773	SRX2698381	SRR5405903	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405903/SRR5405903.fastq.gz	N2_069_028G1
PRJNA376566	SAMN06444416	SRS2092774	SRX2698382	SRR5405904	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405904/SRR5405904.fastq.gz	N2_069_027G1
PRJNA376566	SAMN06444415	SRS2092775	SRX2698383	SRR5405905	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405905/SRR5405905.fastq.gz	N2_069_024G1
PRJNA376566	SAMN06444414	SRS2092776	SRX2698384	SRR5405906	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405906/SRR5405906.fastq.gz	N2_069_021G1
PRJNA376566	SAMN06444413	SRS2092777	SRX2698385	SRR5405907	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405907/SRR5405907.fastq.gz	N2_069_019G1
PRJNA376566	SAMN06444412	SRS2092778	SRX2698386	SRR5405908	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405908/SRR5405908.fastq.gz	N2_069_018G1
PRJNA376566	SAMN06444411	SRS2092779	SRX2698387	SRR5405909	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405909/SRR5405909.fastq.gz	N2_069_017G1
PRJNA376566	SAMN06444410	SRS2092780	SRX2698388	SRR5405910	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405910/SRR5405910.fastq.gz	N2_069_015G1
PRJNA376566	SAMN06444409	SRS2092781	SRX2698389	SRR5405911	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405911/SRR5405911.fastq.gz	N2_069_014G1
PRJNA376566	SAMN06444408	SRS2092782	SRX2698390	SRR5405912	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405912/SRR5405912.fastq.gz	N2_066_064G1
PRJNA376566	SAMN06444407	SRS2092783	SRX2698391	SRR5405913	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405913/SRR5405913.fastq.gz	N2_066_060G1
PRJNA376566	SAMN06444406	SRS2092784	SRX2698392	SRR5405914	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405914/SRR5405914.fastq.gz	N2_066_050G1
PRJNA376566	SAMN06444405	SRS2092785	SRX2698393	SRR5405915	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405915/SRR5405915.fastq.gz	N2_066_048G1
PRJNA376566	SAMN06444404	SRS2092786	SRX2698394	SRR5405916	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405916/SRR5405916.fastq.gz	N2_066_037G1
PRJNA376566	SAMN06444403	SRS2092787	SRX2698395	SRR5405917	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405917/SRR5405917.fastq.gz	N2_066_033G1
PRJNA376566	SAMN06444402	SRS2092788	SRX2698396	SRR5405918	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405918/SRR5405918.fastq.gz	N2_066_031G1
PRJNA376566	SAMN06444401	SRS2092789	SRX2698397	SRR5405919	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405919/SRR5405919.fastq.gz	N2_066_024G1
PRJNA376566	SAMN06444400	SRS2092790	SRX2698398	SRR5405920	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405920/SRR5405920.fastq.gz	N2_066_021G1
PRJNA376566	SAMN06444399	SRS2092791	SRX2698399	SRR5405921	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405921/SRR5405921.fastq.gz	N2_066_019G1
PRJNA376566	SAMN06444398	SRS2092792	SRX2698400	SRR5405922	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405922/SRR5405922.fastq.gz	N2_066_017G1
PRJNA376566	SAMN06444397	SRS2092793	SRX2698401	SRR5405923	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405923/SRR5405923.fastq.gz	N2_066_015G1
PRJNA376566	SAMN06444396	SRS2092794	SRX2698402	SRR5405924	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405924/SRR5405924.fastq.gz	N2_066_013G1
PRJNA376566	SAMN06444395	SRS2092795	SRX2698403	SRR5405925	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405925/SRR5405925.fastq.gz	N2_066_011G1
PRJNA376566	SAMN06444394	SRS2092796	SRX2698404	SRR5405926	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405926/SRR5405926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405926/SRR5405926_2.fastq.gz	N2_066_009G1
PRJNA376566	SAMN06444393	SRS2092797	SRX2698405	SRR5405927	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405927/SRR5405927.fastq.gz	N2_065_059G1
PRJNA376566	SAMN06444392	SRS2092798	SRX2698406	SRR5405928	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405928/SRR5405928.fastq.gz	N2_065_052G1
PRJNA376566	SAMN06444391	SRS2092799	SRX2698407	SRR5405929	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405929/SRR5405929.fastq.gz	N2_065_046G1
PRJNA376566	SAMN06444390	SRS2092800	SRX2698408	SRR5405930	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405930/SRR5405930.fastq.gz	N2_065_038G1
PRJNA376566	SAMN06444389	SRS2092801	SRX2698409	SRR5405931	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405931/SRR5405931.fastq.gz	N2_065_029G1
PRJNA376566	SAMN06444388	SRS2092802	SRX2698410	SRR5405932	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405932/SRR5405932.fastq.gz	N2_065_026G1
PRJNA376566	SAMN06444387	SRS2092804	SRX2698411	SRR5405933	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405933/SRR5405933.fastq.gz	N2_065_024G1
PRJNA376566	SAMN06444386	SRS2092803	SRX2698412	SRR5405934	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405934/SRR5405934.fastq.gz	N2_065_022G1
PRJNA376566	SAMN06444385	SRS2092805	SRX2698413	SRR5405935	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405935/SRR5405935.fastq.gz	N2_065_019G1
PRJNA376566	SAMN06444384	SRS2092806	SRX2698414	SRR5405936	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405936/SRR5405936.fastq.gz	N2_065_017G1
PRJNA376566	SAMN06444383	SRS2092807	SRX2698415	SRR5405937	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405937/SRR5405937.fastq.gz	N2_065_014G1
PRJNA376566	SAMN06444382	SRS2092808	SRX2698416	SRR5405938	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405938/SRR5405938.fastq.gz	N2_065_011G1
PRJNA376566	SAMN06444381	SRS2092809	SRX2698417	SRR5405939	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405939/SRR5405939.fastq.gz	N2_065_009G1
PRJNA376566	SAMN06444380	SRS2092810	SRX2698418	SRR5405940	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405940/SRR5405940.fastq.gz	N2_065_008G1
PRJNA376566	SAMN06444379	SRS2092811	SRX2698419	SRR5405941	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405941/SRR5405941.fastq.gz	N2_064_043G1
PRJNA376566	SAMN06444378	SRS2092812	SRX2698420	SRR5405942	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405942/SRR5405942.fastq.gz	N2_064_036G1
PRJNA376566	SAMN06444377	SRS2092813	SRX2698421	SRR5405943	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405943/SRR5405943.fastq.gz	N2_064_031G1
PRJNA376566	SAMN06444376	SRS2092815	SRX2698422	SRR5405944	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405944/SRR5405944.fastq.gz	N2_064_027G1
PRJNA376566	SAMN06444375	SRS2092814	SRX2698423	SRR5405945	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405945/SRR5405945.fastq.gz	N2_064_025G1
PRJNA376566	SAMN06444374	SRS2092816	SRX2698424	SRR5405946	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405946/SRR5405946.fastq.gz	N2_064_020G1
PRJNA376566	SAMN06444373	SRS2092817	SRX2698425	SRR5405947	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405947/SRR5405947.fastq.gz	N2_064_017G1
PRJNA376566	SAMN06444372	SRS2092818	SRX2698426	SRR5405948	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405948/SRR5405948.fastq.gz	N2_064_016G1
PRJNA376566	SAMN06444371	SRS2092819	SRX2698427	SRR5405949	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405949/SRR5405949.fastq.gz	N2_064_013G1
PRJNA376566	SAMN06444370	SRS2092820	SRX2698428	SRR5405950	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405950/SRR5405950.fastq.gz	N2_064_011G1
PRJNA376566	SAMN06444369	SRS2092821	SRX2698429	SRR5405951	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405951/SRR5405951.fastq.gz	N2_064_009G1
PRJNA376566	SAMN06444368	SRS2092822	SRX2698430	SRR5405952	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405952/SRR5405952.fastq.gz	N2_061_082G1
PRJNA376566	SAMN06444367	SRS2092823	SRX2698431	SRR5405953	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405953/SRR5405953.fastq.gz	N2_061_025G1
PRJNA376566	SAMN06444366	SRS2092824	SRX2698432	SRR5405954	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405954/SRR5405954.fastq.gz	N2_061_021G1
PRJNA376566	SAMN06444365	SRS2092825	SRX2698433	SRR5405955	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405955/SRR5405955.fastq.gz	N2_061_019G1
PRJNA376566	SAMN06444364	SRS2092826	SRX2698434	SRR5405956	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405956/SRR5405956.fastq.gz	N2_061_015G1
PRJNA376566	SAMN06444363	SRS2092827	SRX2698435	SRR5405957	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405957/SRR5405957.fastq.gz	N2_061_008G1
PRJNA376566	SAMN06444362	SRS2092828	SRX2698436	SRR5405958	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405958/SRR5405958.fastq.gz	N2_061_007G1
PRJNA376566	SAMN06444361	SRS2092829	SRX2698437	SRR5405959	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405959/SRR5405959.fastq.gz	N2_060_021G1
PRJNA376566	SAMN06444360	SRS2092830	SRX2698438	SRR5405960	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405960/SRR5405960.fastq.gz	N2_060_020G1
PRJNA376566	SAMN06444359	SRS2092831	SRX2698439	SRR5405961	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405961/SRR5405961.fastq.gz	N2_060_019G1
PRJNA376566	SAMN06444358	SRS2092832	SRX2698440	SRR5405962	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405962/SRR5405962.fastq.gz	N2_060_016G1
PRJNA376566	SAMN06444357	SRS2092833	SRX2698441	SRR5405963	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405963/SRR5405963.fastq.gz	N2_060_015G1
PRJNA376566	SAMN06444356	SRS2092834	SRX2698442	SRR5405964	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405964/SRR5405964.fastq.gz	N2_060_013G1
PRJNA376566	SAMN06444355	SRS2092835	SRX2698443	SRR5405965	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405965/SRR5405965.fastq.gz	N2_060_011G1
PRJNA376566	SAMN06444354	SRS2092836	SRX2698444	SRR5405966	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405966/SRR5405966.fastq.gz	N2_060_009G1
PRJNA376566	SAMN06444353	SRS2092837	SRX2698445	SRR5405967	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405967/SRR5405967.fastq.gz	N2_060_008G1
PRJNA376566	SAMN06444352	SRS2092838	SRX2698446	SRR5405968	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405968/SRR5405968.fastq.gz	N2_039_044G1
PRJNA376566	SAMN06444351	SRS2092839	SRX2698447	SRR5405969	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405969/SRR5405969.fastq.gz	N2_039_037G1
PRJNA376566	SAMN06444350	SRS2092840	SRX2698448	SRR5405970	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405970/SRR5405970.fastq.gz	N2_039_035G1
PRJNA376566	SAMN06444349	SRS2092841	SRX2698449	SRR5405971	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405971/SRR5405971.fastq.gz	N2_039_021G1
PRJNA376566	SAMN06444348	SRS2092842	SRX2698450	SRR5405972	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405972/SRR5405972.fastq.gz	N2_039_020G1
PRJNA376566	SAMN06444347	SRS2092843	SRX2698451	SRR5405973	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405973/SRR5405973.fastq.gz	N2_039_018G1
PRJNA376566	SAMN06444346	SRS2092844	SRX2698452	SRR5405974	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405974/SRR5405974.fastq.gz	N2_039_015G1
PRJNA376566	SAMN06444345	SRS2092845	SRX2698453	SRR5405975	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405975/SRR5405975.fastq.gz	N2_039_013G1
PRJNA376566	SAMN06444344	SRS2092846	SRX2698454	SRR5405976	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405976/SRR5405976.fastq.gz	N2_039_011G1
PRJNA376566	SAMN06444343	SRS2092847	SRX2698455	SRR5405977	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405977/SRR5405977.fastq.gz	N2_039_008G1
PRJNA376566	SAMN06444342	SRS2092849	SRX2698456	SRR5405978	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405978/SRR5405978.fastq.gz	N2_038_044G1
PRJNA376566	SAMN06444341	SRS2092848	SRX2698457	SRR5405979	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405979/SRR5405979.fastq.gz	N2_038_039G1
PRJNA376566	SAMN06444340	SRS2092850	SRX2698458	SRR5405980	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405980/SRR5405980.fastq.gz	N2_038_036G1
PRJNA376566	SAMN06444339	SRS2092852	SRX2698459	SRR5405981	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405981/SRR5405981.fastq.gz	N2_038_030G1
PRJNA376566	SAMN06444338	SRS2092851	SRX2698460	SRR5405982	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405982/SRR5405982.fastq.gz	N2_038_026G1
PRJNA376566	SAMN06444337	SRS2092853	SRX2698461	SRR5405983	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405983/SRR5405983.fastq.gz	N2_038_020G1
PRJNA376566	SAMN06444336	SRS2092854	SRX2698462	SRR5405984	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405984/SRR5405984.fastq.gz	N2_038_018G1
PRJNA376566	SAMN06444335	SRS2092855	SRX2698463	SRR5405985	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405985/SRR5405985.fastq.gz	N2_038_015G1
PRJNA376566	SAMN06444334	SRS2092856	SRX2698464	SRR5405986	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405986/SRR5405986.fastq.gz	N2_038_013G1
PRJNA376566	SAMN06444333	SRS2092857	SRX2698465	SRR5405987	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405987/SRR5405987.fastq.gz	N2_038_011G1
PRJNA376566	SAMN06444332	SRS2092858	SRX2698466	SRR5405988	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405988/SRR5405988.fastq.gz	N2_038_009G1
PRJNA376566	SAMN06444331	SRS2092859	SRX2698467	SRR5405989	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405989/SRR5405989.fastq.gz	N2_035_053G1
PRJNA376566	SAMN06444330	SRS2092860	SRX2698468	SRR5405990	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5405990/SRR5405990.fastq.gz	N2_035_046G1
PRJNA376566	SAMN06444329	SRS2092861	SRX2698469	SRR5405991	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5405991/SRR5405991.fastq.gz	N2_035_039G1
PRJNA376566	SAMN06444328	SRS2092862	SRX2698470	SRR5405992	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5405992/SRR5405992.fastq.gz	N2_035_032G1
PRJNA376566	SAMN06444327	SRS2092863	SRX2698471	SRR5405993	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5405993/SRR5405993.fastq.gz	N2_035_027G1
PRJNA376566	SAMN06444326	SRS2092864	SRX2698472	SRR5405994	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5405994/SRR5405994.fastq.gz	N2_035_025G1
PRJNA376566	SAMN06444325	SRS2092865	SRX2698473	SRR5405995	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5405995/SRR5405995.fastq.gz	N2_035_022G1
PRJNA376566	SAMN06444324	SRS2092866	SRX2698474	SRR5405996	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5405996/SRR5405996.fastq.gz	N2_035_020G1
PRJNA376566	SAMN06444323	SRS2092867	SRX2698475	SRR5405997	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5405997/SRR5405997.fastq.gz	N2_035_018G1
PRJNA376566	SAMN06444322	SRS2092868	SRX2698476	SRR5405998	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5405998/SRR5405998.fastq.gz	N2_035_016G1
PRJNA376566	SAMN06444321	SRS2092869	SRX2698477	SRR5405999	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5405999/SRR5405999.fastq.gz	N2_035_014G1
PRJNA376566	SAMN06444320	SRS2092871	SRX2698478	SRR5406000	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5406000/SRR5406000.fastq.gz	N2_035_012G1
PRJNA376566	SAMN06444319	SRS2092870	SRX2698479	SRR5406001	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5406001/SRR5406001.fastq.gz	N2_035_010G1
